,County_of_Origin,Period,AgeClassDescription,unemployed_number
2747,santa marta de penaguião,Sep-20 to Jan-21,65+,0
2748,santarém,Sep-20 to Jan-21,65+,0
2749,santiago do cacém,Sep-20 to Jan-21,65+,0
2750,santo tirso,Sep-20 to Jan-21,65+,0
2751,sardoal,Sep-20 to Jan-21,65+,0
2752,seia,Sep-20 to Jan-21,65+,0
2753,seixal,Sep-20 to Jan-21,65+,0
2754,sernancelhe,Sep-20 to Jan-21,65+,0
2755,serpa,Sep-20 to Jan-21,65+,0
2756,sertã,Sep-20 to Jan-21,65+,0
2757,sesimbra,Sep-20 to Jan-21,65+,0
2758,setúbal,Sep-20 to Jan-21,65+,0
2759,sever do vouga,Sep-20 to Jan-21,65+,0
2760,silves,Sep-20 to Jan-21,65+,0
2761,sines,Sep-20 to Jan-21,65+,0
2762,sintra,Sep-20 to Jan-21,65+,0
2763,sobral monte agraço,Sep-20 to Jan-21,65+,0
2764,soure,Sep-20 to Jan-21,65+,0
2765,sousel,Sep-20 to Jan-21,65+,0
2766,sátão,Sep-20 to Jan-21,65+,0
2767,são brás de alportel,Sep-20 to Jan-21,65+,0
2768,são joão da madeira,Sep-20 to Jan-21,65+,0
2769,são joão da pesqueira,Sep-20 to Jan-21,65+,0
2770,são pedro do sul,Sep-20 to Jan-21,65+,0
2771,tabuaço,Sep-20 to Jan-21,65+,0
2772,tarouca,Sep-20 to Jan-21,65+,0
2773,tavira,Sep-20 to Jan-21,65+,0
2774,terras de bouro,Sep-20 to Jan-21,65+,0
2775,tomar,Sep-20 to Jan-21,65+,0
2776,tondela,Sep-20 to Jan-21,65+,0
2777,torre de moncorvo,Sep-20 to Jan-21,65+,0
2778,torres novas,Sep-20 to Jan-21,65+,0
2779,torres vedras,Sep-20 to Jan-21,65+,0
2780,trancoso,Sep-20 to Jan-21,65+,0
2781,trofa,Sep-20 to Jan-21,65+,0
2782,tábua,Sep-20 to Jan-21,65+,0
2783,vagos,Sep-20 to Jan-21,65+,0
2784,vale de cambra,Sep-20 to Jan-21,65+,0
2785,valença,Sep-20 to Jan-21,65+,0
2786,valongo,Sep-20 to Jan-21,65+,0
2787,valpaços,Sep-20 to Jan-21,65+,0
2788,vendas novas,Sep-20 to Jan-21,65+,0
2789,viana do alentejo,Sep-20 to Jan-21,65+,0
2790,viana do castelo,Sep-20 to Jan-21,65+,0
2791,vidigueira,Sep-20 to Jan-21,65+,0
2792,vieira do minho,Sep-20 to Jan-21,65+,0
2793,vila de rei,Sep-20 to Jan-21,65+,0
2794,vila do bispo,Sep-20 to Jan-21,65+,0
2795,vila do conde,Sep-20 to Jan-21,65+,0
2796,vila flor,Sep-20 to Jan-21,65+,0
2797,vila franca de xira,Sep-20 to Jan-21,65+,0
2798,vila nova da barquinha,Sep-20 to Jan-21,65+,0
2799,vila nova de cerveira,Sep-20 to Jan-21,65+,0
2800,vila nova de famalicão,Sep-20 to Jan-21,65+,0
2801,vila nova de foz côa,Sep-20 to Jan-21,65+,0
2802,vila nova de gaia,Sep-20 to Jan-21,65+,0
2803,vila nova de paiva,Sep-20 to Jan-21,65+,0
2804,vila nova de poiares,Sep-20 to Jan-21,65+,0
2805,vila pouca de aguiar,Sep-20 to Jan-21,65+,0
2806,vila real,Sep-20 to Jan-21,65+,0
2807,vila real de santo antónio,Sep-20 to Jan-21,65+,0
2808,vila velha de rodão,Sep-20 to Jan-21,65+,0
2809,vila verde,Sep-20 to Jan-21,65+,0
2810,vila viçosa,Sep-20 to Jan-21,65+,0
2811,vimioso,Sep-20 to Jan-21,65+,0
2812,vinhais,Sep-20 to Jan-21,65+,0
2813,viseu,Sep-20 to Jan-21,65+,0
2814,vizela,Sep-20 to Jan-21,65+,0
2815,vouzela,Sep-20 to Jan-21,65+,0
2816,águeda,Sep-20 to Jan-21,65+,0
2817,évora,Sep-20 to Jan-21,65+,0
2818,ílhavo,Sep-20 to Jan-21,65+,0
2819,óbidos,Sep-20 to Jan-21,65+,0
2820,abrantes,Sep-19 to Feb-20,45-54,145
2821,aguiar da beira,Sep-19 to Feb-20,45-54,10
2822,alandroal,Sep-19 to Feb-20,45-54,18
2823,albergaria-a-velha,Sep-19 to Feb-20,45-54,51
2824,albufeira,Sep-19 to Feb-20,45-54,319
2825,alcanena,Sep-19 to Feb-20,45-54,21
2826,alcobaça,Sep-19 to Feb-20,45-54,87
2827,alcochete,Sep-19 to Feb-20,45-54,46
2828,alcoutim,Sep-19 to Feb-20,45-54,2
2829,alcácer do sal,Sep-19 to Feb-20,45-54,22
2830,alenquer,Sep-19 to Feb-20,45-54,119
2831,alentejo,Sep-19 to Feb-20,45-54,1545
2832,alfândega da fé,Sep-19 to Feb-20,45-54,18
2833,alijó,Sep-19 to Feb-20,45-54,52
2834,aljezur,Sep-19 to Feb-20,45-54,17
2835,aljustrel,Sep-19 to Feb-20,45-54,24
2836,almada,Sep-19 to Feb-20,45-54,555
2837,almeida,Sep-19 to Feb-20,45-54,9
2838,almeirim,Sep-19 to Feb-20,45-54,55
2839,almodôvar,Sep-19 to Feb-20,45-54,17
2840,alpiarça,Sep-19 to Feb-20,45-54,13
2841,alter do chão,Sep-19 to Feb-20,45-54,12
2842,alvaiázere,Sep-19 to Feb-20,45-54,10
2843,alvito,Sep-19 to Feb-20,45-54,6
2844,amadora,Sep-19 to Feb-20,45-54,421
2845,amarante,Sep-19 to Feb-20,45-54,195
2846,amares,Sep-19 to Feb-20,45-54,49
2847,anadia,Sep-19 to Feb-20,45-54,43
2848,ansião,Sep-19 to Feb-20,45-54,20
2849,arcos de valdevez,Sep-19 to Feb-20,45-54,40
2850,arganil,Sep-19 to Feb-20,45-54,30
2851,armamar,Sep-19 to Feb-20,45-54,22
2852,arouca,Sep-19 to Feb-20,45-54,41
2853,arraiolos,Sep-19 to Feb-20,45-54,12
2854,arronches,Sep-19 to Feb-20,45-54,7
2855,arruda dos vinhos,Sep-19 to Feb-20,45-54,29
2856,aveiro,Sep-19 to Feb-20,45-54,248
2857,avis,Sep-19 to Feb-20,45-54,11
2858,azambuja,Sep-19 to Feb-20,45-54,47
2859,baião,Sep-19 to Feb-20,45-54,103
2860,barcelos,Sep-19 to Feb-20,45-54,197
2861,barrancos,Sep-19 to Feb-20,45-54,11
2862,barreiro,Sep-19 to Feb-20,45-54,306
2863,batalha,Sep-19 to Feb-20,45-54,24
2864,beja,Sep-19 to Feb-20,45-54,113
2865,belmonte,Sep-19 to Feb-20,45-54,20
2866,benavente,Sep-19 to Feb-20,45-54,94
2867,bombarral,Sep-19 to Feb-20,45-54,21
2868,borba,Sep-19 to Feb-20,45-54,21
2869,boticas,Sep-19 to Feb-20,45-54,12
2870,braga,Sep-19 to Feb-20,45-54,680
2871,bragança,Sep-19 to Feb-20,45-54,91
2872,cabeceiras de basto,Sep-19 to Feb-20,45-54,72
2873,cadaval,Sep-19 to Feb-20,45-54,23
2874,caldas da rainha,Sep-19 to Feb-20,45-54,112
2875,caminha,Sep-19 to Feb-20,45-54,31
2876,campo maior,Sep-19 to Feb-20,45-54,40
2877,cantanhede,Sep-19 to Feb-20,45-54,67
2878,carrazeda de ansiães,Sep-19 to Feb-20,45-54,21
2879,carregal do sal,Sep-19 to Feb-20,45-54,20
2880,cartaxo,Sep-19 to Feb-20,45-54,52
2881,cascais,Sep-19 to Feb-20,45-54,619
2882,castanheira de pera,Sep-19 to Feb-20,45-54,6
2883,castelo branco,Sep-19 to Feb-20,45-54,137
2884,castelo de paiva,Sep-19 to Feb-20,45-54,57
2885,castelo de vide,Sep-19 to Feb-20,45-54,5
2886,castro daire,Sep-19 to Feb-20,45-54,51
2887,castro marim,Sep-19 to Feb-20,45-54,15
2888,castro verde,Sep-19 to Feb-20,45-54,17
2889,celorico da beira,Sep-19 to Feb-20,45-54,18
2890,celorico de basto,Sep-19 to Feb-20,45-54,66
2891,centro,Sep-19 to Feb-20,45-54,4171
2892,chamusca,Sep-19 to Feb-20,45-54,18
2893,chaves,Sep-19 to Feb-20,45-54,131
2894,cinfães,Sep-19 to Feb-20,45-54,83
2895,coimbra,Sep-19 to Feb-20,45-54,394
2896,condeixa-a-nova,Sep-19 to Feb-20,45-54,36
2897,constância,Sep-19 to Feb-20,45-54,12
2898,coruche,Sep-19 to Feb-20,45-54,54
2899,covilhã,Sep-19 to Feb-20,45-54,116
2900,crato,Sep-19 to Feb-20,45-54,10
2901,cuba,Sep-19 to Feb-20,45-54,17
2902,elvas,Sep-19 to Feb-20,45-54,104
2903,entroncamento,Sep-19 to Feb-20,45-54,48
2904,espinho,Sep-19 to Feb-20,45-54,142
2905,esposende,Sep-19 to Feb-20,45-54,61
2906,estarreja,Sep-19 to Feb-20,45-54,68
2907,estremoz,Sep-19 to Feb-20,45-54,30
2908,fafe,Sep-19 to Feb-20,45-54,161
2909,faro,Sep-19 to Feb-20,45-54,144
2910,felgueiras,Sep-19 to Feb-20,45-54,159
2911,ferreira do alentejo,Sep-19 to Feb-20,45-54,23
2912,ferreira do zêzere,Sep-19 to Feb-20,45-54,12
2913,figueira da foz,Sep-19 to Feb-20,45-54,217
2914,figueira de castelo rodrigo,Sep-19 to Feb-20,45-54,16
2915,figueiró dos vinhos,Sep-19 to Feb-20,45-54,17
2916,fornos de algodres,Sep-19 to Feb-20,45-54,12
2917,freixo espada à cinta,Sep-19 to Feb-20,45-54,20
2918,fronteira,Sep-19 to Feb-20,45-54,11
2919,fundão,Sep-19 to Feb-20,45-54,65
2920,gavião,Sep-19 to Feb-20,45-54,8
2921,golegã,Sep-19 to Feb-20,45-54,8
2922,gondomar,Sep-19 to Feb-20,45-54,629
2923,gouveia,Sep-19 to Feb-20,45-54,40
2924,grândola,Sep-19 to Feb-20,45-54,31
2925,guarda,Sep-19 to Feb-20,45-54,123
2926,guimarães,Sep-19 to Feb-20,45-54,525
2927,góis,Sep-19 to Feb-20,45-54,11
2928,idanha-a-nova,Sep-19 to Feb-20,45-54,31
2929,lagoa,Sep-19 to Feb-20,45-54,106
2930,lagos,Sep-19 to Feb-20,45-54,138
2931,lamego,Sep-19 to Feb-20,45-54,184
2932,leiria,Sep-19 to Feb-20,45-54,251
2933,lisboa,Sep-19 to Feb-20,45-54,1706
2934,lisboa vt,Sep-19 to Feb-20,45-54,9925
2935,loulé,Sep-19 to Feb-20,45-54,252
2936,loures,Sep-19 to Feb-20,45-54,533
2937,lourinhã,Sep-19 to Feb-20,45-54,61
2938,lousada,Sep-19 to Feb-20,45-54,115
2939,lousã,Sep-19 to Feb-20,45-54,50
2940,macedo de cavaleiros,Sep-19 to Feb-20,45-54,57
2941,mafra,Sep-19 to Feb-20,45-54,186
2942,maia,Sep-19 to Feb-20,45-54,410
2943,mangualde,Sep-19 to Feb-20,45-54,54
2944,manteigas,Sep-19 to Feb-20,45-54,6
2945,marco de canaveses,Sep-19 to Feb-20,45-54,239
2946,marinha grande,Sep-19 to Feb-20,45-54,126
2947,marvão,Sep-19 to Feb-20,45-54,6
2948,matosinhos,Sep-19 to Feb-20,45-54,659
2949,mação,Sep-19 to Feb-20,45-54,16
2950,mealhada,Sep-19 to Feb-20,45-54,39
2951,meda,Sep-19 to Feb-20,45-54,5
2952,melgaço,Sep-19 to Feb-20,45-54,9
2953,mesão frio,Sep-19 to Feb-20,45-54,27
2954,mira,Sep-19 to Feb-20,45-54,35
2955,miranda do corvo,Sep-19 to Feb-20,45-54,23
2956,miranda do douro,Sep-19 to Feb-20,45-54,16
2957,mirandela,Sep-19 to Feb-20,45-54,90
2958,mogadouro,Sep-19 to Feb-20,45-54,30
2959,moimenta da beira,Sep-19 to Feb-20,45-54,65
2960,moita,Sep-19 to Feb-20,45-54,256
2961,monchique,Sep-19 to Feb-20,45-54,15
2962,mondim de basto,Sep-19 to Feb-20,45-54,29
2963,monforte,Sep-19 to Feb-20,45-54,17
2964,montalegre,Sep-19 to Feb-20,45-54,26
2965,montemor-o-novo,Sep-19 to Feb-20,45-54,29
2966,montemor-o-velho,Sep-19 to Feb-20,45-54,59
2967,montijo,Sep-19 to Feb-20,45-54,211
2968,monção,Sep-19 to Feb-20,45-54,31
2969,mora,Sep-19 to Feb-20,45-54,6
2970,mortágua,Sep-19 to Feb-20,45-54,10
2971,moura,Sep-19 to Feb-20,45-54,90
2972,mourão,Sep-19 to Feb-20,45-54,18
2973,murtosa,Sep-19 to Feb-20,45-54,21
2974,murça,Sep-19 to Feb-20,45-54,35
2975,mértola,Sep-19 to Feb-20,45-54,21
2976,nazaré,Sep-19 to Feb-20,45-54,32
2977,nelas,Sep-19 to Feb-20,45-54,37
2978,nisa,Sep-19 to Feb-20,45-54,15
2979,norte,Sep-19 to Feb-20,45-54,12679
2980,odemira,Sep-19 to Feb-20,45-54,109
2981,odivelas,Sep-19 to Feb-20,45-54,337
2982,oeiras,Sep-19 to Feb-20,45-54,420
2983,oleiros,Sep-19 to Feb-20,45-54,5
2984,olhão,Sep-19 to Feb-20,45-54,102
2985,oliveira de azeméis,Sep-19 to Feb-20,45-54,130
2986,oliveira de frades,Sep-19 to Feb-20,45-54,33
2987,oliveira do bairro,Sep-19 to Feb-20,45-54,47
2988,oliveira do hospital,Sep-19 to Feb-20,45-54,59
2989,ourique,Sep-19 to Feb-20,45-54,16
2990,ourém,Sep-19 to Feb-20,45-54,54
2991,ovar,Sep-19 to Feb-20,45-54,170
2992,palmela,Sep-19 to Feb-20,45-54,161
2993,pampilhosa da serra,Sep-19 to Feb-20,45-54,10
2994,paredes,Sep-19 to Feb-20,45-54,298
2995,paredes de coura,Sep-19 to Feb-20,45-54,17
2996,paços de ferreira,Sep-19 to Feb-20,45-54,150
2997,pedrógão grande,Sep-19 to Feb-20,45-54,10
2998,penacova,Sep-19 to Feb-20,45-54,17
2999,penafiel,Sep-19 to Feb-20,45-54,233
3000,penalva do castelo,Sep-19 to Feb-20,45-54,21
3001,penamacor,Sep-19 to Feb-20,45-54,11
3002,penedono,Sep-19 to Feb-20,45-54,8
3003,penela,Sep-19 to Feb-20,45-54,6
3004,peniche,Sep-19 to Feb-20,45-54,83
3005,peso da régua,Sep-19 to Feb-20,45-54,105
3006,pinhel,Sep-19 to Feb-20,45-54,13
3007,pombal,Sep-19 to Feb-20,45-54,92
3008,ponte da barca,Sep-19 to Feb-20,45-54,24
3009,ponte de lima,Sep-19 to Feb-20,45-54,51
3010,ponte de sôr,Sep-19 to Feb-20,45-54,43
3011,portalegre,Sep-19 to Feb-20,45-54,58
3012,portel,Sep-19 to Feb-20,45-54,17
3013,portimão,Sep-19 to Feb-20,45-54,313
3014,porto,Sep-19 to Feb-20,45-54,1061
3015,porto de mós,Sep-19 to Feb-20,45-54,35
3016,proença-a-nova,Sep-19 to Feb-20,45-54,14
3017,póvoa de lanhoso,Sep-19 to Feb-20,45-54,71
3018,póvoa de varzim,Sep-19 to Feb-20,45-54,217
3019,redondo,Sep-19 to Feb-20,45-54,18
3020,reguengos de monsaraz,Sep-19 to Feb-20,45-54,36
3021,resende,Sep-19 to Feb-20,45-54,54
3022,ribeira de pena,Sep-19 to Feb-20,45-54,27
3023,rio maior,Sep-19 to Feb-20,45-54,38
3024,sabrosa,Sep-19 to Feb-20,45-54,24
3025,sabugal,Sep-19 to Feb-20,45-54,24
3026,salvaterra de magos,Sep-19 to Feb-20,45-54,80
3027,santa comba dão,Sep-19 to Feb-20,45-54,26
3028,santa maria da feira,Sep-19 to Feb-20,45-54,439
3029,santa marta de penaguião,Sep-19 to Feb-20,45-54,45
3030,santarém,Sep-19 to Feb-20,45-54,134
3031,santiago do cacém,Sep-19 to Feb-20,45-54,78
3032,santo tirso,Sep-19 to Feb-20,45-54,234
3033,sardoal,Sep-19 to Feb-20,45-54,14
3034,seia,Sep-19 to Feb-20,45-54,54
3035,seixal,Sep-19 to Feb-20,45-54,447
3036,sernancelhe,Sep-19 to Feb-20,45-54,15
3037,serpa,Sep-19 to Feb-20,45-54,61
3038,sertã,Sep-19 to Feb-20,45-54,42
3039,sesimbra,Sep-19 to Feb-20,45-54,123
3040,setúbal,Sep-19 to Feb-20,45-54,392
3041,sever do vouga,Sep-19 to Feb-20,45-54,19
3042,silves,Sep-19 to Feb-20,45-54,140
3043,sines,Sep-19 to Feb-20,45-54,60
3044,sintra,Sep-19 to Feb-20,45-54,916
3045,sobral monte agraço,Sep-19 to Feb-20,45-54,21
3046,soure,Sep-19 to Feb-20,45-54,36
3047,sousel,Sep-19 to Feb-20,45-54,16
3048,sátão,Sep-19 to Feb-20,45-54,37
3049,são brás de alportel,Sep-19 to Feb-20,45-54,23
3050,são joão da madeira,Sep-19 to Feb-20,45-54,74
3051,são joão da pesqueira,Sep-19 to Feb-20,45-54,20
3052,são pedro do sul,Sep-19 to Feb-20,45-54,47
3053,tabuaço,Sep-19 to Feb-20,45-54,33
3054,tarouca,Sep-19 to Feb-20,45-54,43
3055,tavira,Sep-19 to Feb-20,45-54,63
3056,terras de bouro,Sep-19 to Feb-20,45-54,28
3057,tomar,Sep-19 to Feb-20,45-54,81
3058,tondela,Sep-19 to Feb-20,45-54,49
3059,torre de moncorvo,Sep-19 to Feb-20,45-54,28
3060,torres novas,Sep-19 to Feb-20,45-54,70
3061,torres vedras,Sep-19 to Feb-20,45-54,200
3062,trancoso,Sep-19 to Feb-20,45-54,17
3063,trofa,Sep-19 to Feb-20,45-54,103
3064,tábua,Sep-19 to Feb-20,45-54,34
3065,vagos,Sep-19 to Feb-20,45-54,45
3066,vale de cambra,Sep-19 to Feb-20,45-54,39
3067,valença,Sep-19 to Feb-20,45-54,37
3068,valongo,Sep-19 to Feb-20,45-54,397
3069,valpaços,Sep-19 to Feb-20,45-54,46
3070,vendas novas,Sep-19 to Feb-20,45-54,17
3071,viana do alentejo,Sep-19 to Feb-20,45-54,19
3072,viana do castelo,Sep-19 to Feb-20,45-54,165
3073,vidigueira,Sep-19 to Feb-20,45-54,22
3074,vieira do minho,Sep-19 to Feb-20,45-54,59
3075,vila de rei,Sep-19 to Feb-20,45-54,5
3076,vila do bispo,Sep-19 to Feb-20,45-54,20
3077,vila do conde,Sep-19 to Feb-20,45-54,259
3078,vila flor,Sep-19 to Feb-20,45-54,28
3079,vila franca de xira,Sep-19 to Feb-20,45-54,332
3080,vila nova da barquinha,Sep-19 to Feb-20,45-54,13
3081,vila nova de cerveira,Sep-19 to Feb-20,45-54,20
3082,vila nova de famalicão,Sep-19 to Feb-20,45-54,339
3083,vila nova de foz côa,Sep-19 to Feb-20,45-54,19
3084,vila nova de gaia,Sep-19 to Feb-20,45-54,1520
3085,vila nova de paiva,Sep-19 to Feb-20,45-54,20
3086,vila nova de poiares,Sep-19 to Feb-20,45-54,15
3087,vila pouca de aguiar,Sep-19 to Feb-20,45-54,42
3088,vila real,Sep-19 to Feb-20,45-54,248
3089,vila real de santo antónio,Sep-19 to Feb-20,45-54,70
3090,vila velha de rodão,Sep-19 to Feb-20,45-54,5
3091,vila verde,Sep-19 to Feb-20,45-54,114
3092,vila viçosa,Sep-19 to Feb-20,45-54,24
3093,vimioso,Sep-19 to Feb-20,45-54,10
3094,vinhais,Sep-19 to Feb-20,45-54,25
3095,viseu,Sep-19 to Feb-20,45-54,302
3096,vizela,Sep-19 to Feb-20,45-54,64
3097,vouzela,Sep-19 to Feb-20,45-54,28
3098,águeda,Sep-19 to Feb-20,45-54,87
3099,évora,Sep-19 to Feb-20,45-54,159
3100,ílhavo,Sep-19 to Feb-20,45-54,122
3101,óbidos,Sep-19 to Feb-20,45-54,19
3102,abrantes,Sep-20 to Jan-21,45-54,149
3103,aguiar da beira,Sep-20 to Jan-21,45-54,12
3104,alandroal,Sep-20 to Jan-21,45-54,17
3105,albergaria-a-velha,Sep-20 to Jan-21,45-54,72
3106,albufeira,Sep-20 to Jan-21,45-54,571
3107,alcanena,Sep-20 to Jan-21,45-54,28
3108,alcobaça,Sep-20 to Jan-21,45-54,130
3109,alcochete,Sep-20 to Jan-21,45-54,61
3110,alcoutim,Sep-20 to Jan-21,45-54,4
3111,alcácer do sal,Sep-20 to Jan-21,45-54,33
3112,alenquer,Sep-20 to Jan-21,45-54,188
3113,alentejo,Sep-20 to Jan-21,45-54,1874
3114,alfândega da fé,Sep-20 to Jan-21,45-54,17
3115,alijó,Sep-20 to Jan-21,45-54,57
3116,aljezur,Sep-20 to Jan-21,45-54,21
3117,aljustrel,Sep-20 to Jan-21,45-54,27
3118,almada,Sep-20 to Jan-21,45-54,754
3119,almeida,Sep-20 to Jan-21,45-54,9
3120,almeirim,Sep-20 to Jan-21,45-54,61
3121,almodôvar,Sep-20 to Jan-21,45-54,24
3122,alpiarça,Sep-20 to Jan-21,45-54,14
3123,alter do chão,Sep-20 to Jan-21,45-54,13
3124,alvaiázere,Sep-20 to Jan-21,45-54,9
3125,alvito,Sep-20 to Jan-21,45-54,8
3126,amadora,Sep-20 to Jan-21,45-54,669
3127,amarante,Sep-20 to Jan-21,45-54,236
3128,amares,Sep-20 to Jan-21,45-54,64
3129,anadia,Sep-20 to Jan-21,45-54,55
3130,ansião,Sep-20 to Jan-21,45-54,21
3131,arcos de valdevez,Sep-20 to Jan-21,45-54,54
3132,arganil,Sep-20 to Jan-21,45-54,33
3133,armamar,Sep-20 to Jan-21,45-54,23
3134,arouca,Sep-20 to Jan-21,45-54,51
3135,arraiolos,Sep-20 to Jan-21,45-54,17
3136,arronches,Sep-20 to Jan-21,45-54,7
3137,arruda dos vinhos,Sep-20 to Jan-21,45-54,43
3138,aveiro,Sep-20 to Jan-21,45-54,286
3139,avis,Sep-20 to Jan-21,45-54,13
3140,azambuja,Sep-20 to Jan-21,45-54,64
3141,baião,Sep-20 to Jan-21,45-54,118
3142,barcelos,Sep-20 to Jan-21,45-54,255
3143,barrancos,Sep-20 to Jan-21,45-54,10
3144,barreiro,Sep-20 to Jan-21,45-54,372
3145,batalha,Sep-20 to Jan-21,45-54,37
3146,beja,Sep-20 to Jan-21,45-54,137
3147,belmonte,Sep-20 to Jan-21,45-54,25
3148,benavente,Sep-20 to Jan-21,45-54,110
3149,bombarral,Sep-20 to Jan-21,45-54,39
3150,borba,Sep-20 to Jan-21,45-54,25
3151,boticas,Sep-20 to Jan-21,45-54,13
3152,braga,Sep-20 to Jan-21,45-54,774
3153,bragança,Sep-20 to Jan-21,45-54,92
3154,cabeceiras de basto,Sep-20 to Jan-21,45-54,68
3155,cadaval,Sep-20 to Jan-21,45-54,40
3156,caldas da rainha,Sep-20 to Jan-21,45-54,183
3157,caminha,Sep-20 to Jan-21,45-54,40
3158,campo maior,Sep-20 to Jan-21,45-54,43
3159,cantanhede,Sep-20 to Jan-21,45-54,87
3160,carrazeda de ansiães,Sep-20 to Jan-21,45-54,25
3161,carregal do sal,Sep-20 to Jan-21,45-54,27
3162,cartaxo,Sep-20 to Jan-21,45-54,63
3163,cascais,Sep-20 to Jan-21,45-54,877
3164,castanheira de pera,Sep-20 to Jan-21,45-54,6
3165,castelo branco,Sep-20 to Jan-21,45-54,156
3166,castelo de paiva,Sep-20 to Jan-21,45-54,74
3167,castelo de vide,Sep-20 to Jan-21,45-54,5
3168,castro daire,Sep-20 to Jan-21,45-54,53
3169,castro marim,Sep-20 to Jan-21,45-54,26
3170,castro verde,Sep-20 to Jan-21,45-54,25
3171,celorico da beira,Sep-20 to Jan-21,45-54,22
3172,celorico de basto,Sep-20 to Jan-21,45-54,76
3173,centro,Sep-20 to Jan-21,45-54,4947
3174,chamusca,Sep-20 to Jan-21,45-54,17
3175,chaves,Sep-20 to Jan-21,45-54,125
3176,cinfães,Sep-20 to Jan-21,45-54,108
3177,coimbra,Sep-20 to Jan-21,45-54,460
3178,condeixa-a-nova,Sep-20 to Jan-21,45-54,40
3179,constância,Sep-20 to Jan-21,45-54,14
3180,coruche,Sep-20 to Jan-21,45-54,61
3181,covilhã,Sep-20 to Jan-21,45-54,167
3182,crato,Sep-20 to Jan-21,45-54,12
3183,cuba,Sep-20 to Jan-21,45-54,19
3184,elvas,Sep-20 to Jan-21,45-54,116
3185,entroncamento,Sep-20 to Jan-21,45-54,61
3186,espinho,Sep-20 to Jan-21,45-54,161
3187,esposende,Sep-20 to Jan-21,45-54,73
3188,estarreja,Sep-20 to Jan-21,45-54,81
3189,estremoz,Sep-20 to Jan-21,45-54,38
3190,fafe,Sep-20 to Jan-21,45-54,209
3191,faro,Sep-20 to Jan-21,45-54,273
3192,felgueiras,Sep-20 to Jan-21,45-54,249
3193,ferreira do alentejo,Sep-20 to Jan-21,45-54,23
3194,ferreira do zêzere,Sep-20 to Jan-21,45-54,11
3195,figueira da foz,Sep-20 to Jan-21,45-54,247
3196,figueira de castelo rodrigo,Sep-20 to Jan-21,45-54,18
3197,figueiró dos vinhos,Sep-20 to Jan-21,45-54,12
3198,fornos de algodres,Sep-20 to Jan-21,45-54,12
3199,freixo espada à cinta,Sep-20 to Jan-21,45-54,20
3200,fronteira,Sep-20 to Jan-21,45-54,12
3201,fundão,Sep-20 to Jan-21,45-54,78
3202,gavião,Sep-20 to Jan-21,45-54,9
3203,golegã,Sep-20 to Jan-21,45-54,11
3204,gondomar,Sep-20 to Jan-21,45-54,829
3205,gouveia,Sep-20 to Jan-21,45-54,41
3206,grândola,Sep-20 to Jan-21,45-54,35
3207,guarda,Sep-20 to Jan-21,45-54,119
3208,guimarães,Sep-20 to Jan-21,45-54,686
3209,góis,Sep-20 to Jan-21,45-54,10
3210,idanha-a-nova,Sep-20 to Jan-21,45-54,35
3211,lagoa,Sep-20 to Jan-21,45-54,156
3212,lagos,Sep-20 to Jan-21,45-54,195
3213,lamego,Sep-20 to Jan-21,45-54,179
3214,leiria,Sep-20 to Jan-21,45-54,372
3215,lisboa,Sep-20 to Jan-21,45-54,2300
3216,lisboa vt,Sep-20 to Jan-21,45-54,14160
3217,loulé,Sep-20 to Jan-21,45-54,482
3218,loures,Sep-20 to Jan-21,45-54,871
3219,lourinhã,Sep-20 to Jan-21,45-54,86
3220,lousada,Sep-20 to Jan-21,45-54,153
3221,lousã,Sep-20 to Jan-21,45-54,59
3222,macedo de cavaleiros,Sep-20 to Jan-21,45-54,48
3223,mafra,Sep-20 to Jan-21,45-54,263
3224,maia,Sep-20 to Jan-21,45-54,547
3225,mangualde,Sep-20 to Jan-21,45-54,69
3226,manteigas,Sep-20 to Jan-21,45-54,11
3227,marco de canaveses,Sep-20 to Jan-21,45-54,287
3228,marinha grande,Sep-20 to Jan-21,45-54,182
3229,marvão,Sep-20 to Jan-21,45-54,8
3230,matosinhos,Sep-20 to Jan-21,45-54,781
3231,mação,Sep-20 to Jan-21,45-54,17
3232,mealhada,Sep-20 to Jan-21,45-54,46
3233,meda,Sep-20 to Jan-21,45-54,9
3234,melgaço,Sep-20 to Jan-21,45-54,11
3235,mesão frio,Sep-20 to Jan-21,45-54,26
3236,mira,Sep-20 to Jan-21,45-54,36
3237,miranda do corvo,Sep-20 to Jan-21,45-54,24
3238,miranda do douro,Sep-20 to Jan-21,45-54,17
3239,mirandela,Sep-20 to Jan-21,45-54,82
3240,mogadouro,Sep-20 to Jan-21,45-54,27
3241,moimenta da beira,Sep-20 to Jan-21,45-54,65
3242,moita,Sep-20 to Jan-21,45-54,329
3243,monchique,Sep-20 to Jan-21,45-54,15
3244,mondim de basto,Sep-20 to Jan-21,45-54,30
3245,monforte,Sep-20 to Jan-21,45-54,18
3246,montalegre,Sep-20 to Jan-21,45-54,23
3247,montemor-o-novo,Sep-20 to Jan-21,45-54,34
3248,montemor-o-velho,Sep-20 to Jan-21,45-54,68
3249,montijo,Sep-20 to Jan-21,45-54,270
3250,monção,Sep-20 to Jan-21,45-54,45
3251,mora,Sep-20 to Jan-21,45-54,7
3252,mortágua,Sep-20 to Jan-21,45-54,13
3253,moura,Sep-20 to Jan-21,45-54,92
